day, x, y, z
290,8.469461384861561E11,-1.2768820913478296E12,5.513398104905829E9
291,8.476576008657336E11,-1.2764995183543389E12,5.512114439070936E9
292,8.483687727388291E11,-1.2761164692075823E12,5.510771806072225E9
293,8.490796541323573E11,-1.2757329446767524E12,5.509370505103254E9
294,8.49790245072258E11,-1.2753489455259314E12,5.507910832838264E9
295,8.505005455835046E11,-1.2749644725141511E12,5.506393083462603E9
296,8.51210555690111E11,-1.2745795263954539E12,5.504817548702681E9
297,8.519202754151395E11,-1.2741941079189514E12,5.503184517855469E9
298,8.526297047807091E11,-1.273808217828883E12,5.501494277817533E9
299,8.533388438080021E11,-1.273421856864673E12,5.499747113113628E9
300,8.54047692517272E11,-1.2730350257609873E12,5.49794330592486E9
301,8.547562509278512E11,-1.2726477252477883E12,5.496083136116405E9
302,8.554645190581582E11,-1.2722599560503909E12,5.494166881264821E9
303,8.561724969257047E11,-1.2718717188895154E12,5.492194816684942E9
304,8.568801845471031E11,-1.2714830144813418E12,5.490167215456361E9
305,8.575875819380739E11,-1.2710938435375613E12,5.488084348449522E9
306,8.582946891134521E11,-1.270704206765428E12,5.4859464843514185E9
307,8.590015060871956E11,-1.2703141048678103E12,5.4837538896909075E9
308,8.597080328723907E11,-1.2699235385432407E12,5.4815068288636465E9
309,8.604142694812605E11,-1.2695325084859653E12,5.479205564156664E9
310,8.611202159251707E11,-1.2691410153859922E12,5.47685035577256E9
311,8.618258722146372E11,-1.26874905992914E12,5.474441461853357E9
312,8.625312383593329E11,-1.268356642797084E12,5.471979138503998E9
313,8.632363143680939E11,-1.2679637646674048E12,5.469463639815495E9
314,8.639411002489266E11,-1.267570426213632E12,5.46689521788775E9
315,8.646455960090146E11,-1.267176628105291E12,5.464274122852037E9
316,8.653498016547249E11,-1.2667823710079465E12,5.461600602893159E9
317,8.660537171916143E11,-1.2663876555832478E12,5.458874904271283E9
318,8.667573426244364E11,-1.265992482488971E12,5.456097271343469E9
319,8.674606779571478E11,-1.2655968523790623E12,5.453267946584876E9
320,8.681637231929146E11,-1.26520076590368E12,5.450387170609678E9
321,8.688664783341183E11,-1.264804223709236E12,5.447455182191673E9
322,8.695689433823625E11,-1.2644072264384375E12,5.444472218284601E9
323,8.702711183384794E11,-1.2640097747303257E12,5.441438514042174E9
324,8.709730032025352E11,-1.2636118692203176E12,5.438354302837825E9
325,8.716745979738367E11,-1.2632135105402441E12,5.435219816284173E9
326,8.723759026509374E11,-1.2628146993183892E12,5.432035284252224E9
327,8.730769172316434E11,-1.2624154361795278E12,5.428800934890292E9
328,8.737776417130195E11,-1.2620157217449639E12,5.425516994642666E9
329,8.74478076091395E11,-1.2616155566325674E12,5.422183688268006E9
330,8.751782203623695E11,-1.2612149414568108E12,5.418801238857498E9
331,8.758780745208191E11,-1.260813876828806E12,5.415369867852745E9
332,8.765776385609016E11,-1.2604123633563386E12,5.411889795063417E9
333,8.772769124760629E11,-1.2600104016439045E12,5.408361238684661E9
334,8.77975896259042E11,-1.259607992292744E12,5.404784415314265E9
335,8.786745899018773E11,-1.2592051359008755E12,5.401159539969595E9
336,8.793729933959117E11,-1.2588018330631309E12,5.397486826104297E9
337,8.800711067317983E11,-1.258398084371187E12,5.393766485624771E9
338,8.807689298995059E11,-1.2579938904135999E12,5.389998728906428E9
339,8.814664628883245E11,-1.2575892517758364E12,5.386183764809722E9
340,8.821637056868705E11,-1.2571841690403066E12,5.382321800695966E9
341,8.828606582830924E11,-1.2567786427863958E12,5.37841304244294E9
342,8.835573206642759E11,-1.2563726735904946E12,5.374457694460287E9
343,8.842536928170491E11,-1.255966262026031E12,5.370455959704706E9
344,8.849497747273878E11,-1.2555594086634998E12,5.366408039694939E9
345,8.856455663806208E11,-1.255152114070493E12,5.362314134526562E9
346,8.863410677614349E11,-1.2547443788117292E12,5.358174442886583E9
347,8.870362788538799E11,-1.254336203449083E12,5.353989162067842E9
348,8.877311996413738E11,-1.2539275885416138E12,5.349758487983223E9
349,8.884258301067079E11,-1.2535185346455938E12,5.345482615179687E9
350,8.891201702320516E11,-1.2531090423145369E12,5.341161736852109E9
351,8.898142199989574E11,-1.2526991120992258E12,5.336796044856946E9
352,8.905079793883656E11,-1.2522887445477397E12,5.332385729725722E9
353,8.912014483806095E11,-1.2518779402054814E12,5.327930980678338E9
354,8.918946269554198E11,-1.2514666996152031E12,5.323431985636212E9
355,8.925875150919296E11,-1.2510550233170342E12,5.31888893123525E9
356,8.932801127686792E11,-1.2506429118485059E12,5.314302002838649E9
357,8.939724199636205E11,-1.250230365744578E12,5.309671384549534E9
358,8.94664436654122E11,-1.2498173855376633E12,5.304997259223441E9
359,8.953561628169728E11,-1.249403971757654E12,5.300279808480632E9
360,8.960475984283881E11,-1.2489901249319446E12,5.29551921271826E9
361,8.967387434640127E11,-1.2485758455854575E12,5.290715651122376E9
362,8.974295978989263E11,-1.2481611342406672E12,5.285869301679789E9
363,8.981201617076475E11,-1.2477459914176238E12,5.28098034118977E9
364,8.988104348641383E11,-1.247330417633976E12,5.276048945275616E9
365,8.995004173418087E11,-1.2469144134049956E12,5.271075288396065E9
366,9.001901091135206E11,-1.246497979243599E12,5.266059543856568E9
