day,x,y,z
245,-7.858568839930108E12,-1.212181842608515E12,2.2057852715609718E7
246,-7.890032111542899E12,-1.2170108545763274E12,2.2114057811773326E7
247,-7.921495367774474E12,-1.2218398641712742E12,2.2170262874935497E7
248,-7.952958608746755E12,-1.226668871412213E12,2.2226467905370984E7
249,-7.98442183458022E12,-1.2314978763177776E12,2.228267290335117E7
250,-8.015885045393927E12,-1.2363268789063816E12,2.233887786914411E7
251,-8.047348241305533E12,-1.2411558791962214E12,2.2395082803014595E7
252,-8.078811422431319E12,-1.24598487720528E12,2.2451287705224212E7
253,-8.110274588886211E12,-1.2508138729513306E12,2.2507492576031376E7
254,-8.141737740783798E12,-1.2556428664519387E12,2.2563697415691394E7
255,-8.173200878236356E12,-1.2604718577244666E12,2.2619902224456515E7
256,-8.204664001354869E12,-1.2653008467860754E12,2.2676107002575967E7
257,-8.236127110249044E12,-1.2701298336537297E12,2.2732311750296023E7
258,-8.267590205027334E12,-1.274958818344199E12,2.2788516467860024E7
259,-8.299053285796956E12,-1.2797878008740605E12,2.2844721155508447E7
260,-8.33051635266391E12,-1.284616781259704E12,2.290092581347894E7
261,-8.361979405733E12,-1.289445759517333E12,2.295713044200636E7
262,-8.393442445107846E12,-1.294274735662968E12,2.3013335041322835E7
263,-8.424905470890905E12,-1.2991037097124492E12,2.3069539611657776E7
264,-8.456368483183492E12,-1.3039326816814395E12,2.3125744153237954E7
265,-8.48783148208579E12,-1.3087616515854263E12,2.3181948666287508E7
266,-8.519294467696871E12,-1.3135906194397256E12,2.3238153151028007E7
267,-8.550757440114712E12,-1.318419585259483E12,2.3294357607678488E7
268,-8.582220399436209E12,-1.3232485490596768E12,2.3350562036455475E7
269,-8.613683345757197E12,-1.3280775108551208E12,2.340676643757304E7
270,-8.645146279172462E12,-1.3329064706604663E12,2.3462970811242834E7
271,-8.676609199775756E12,-1.3377354284902043E12,2.3519175157674104E7
272,-8.708072107659813E12,-1.3425643843586687E12,2.357537947707375E7
273,-8.739535002916365E12,-1.3473933382800374E12,2.3631583769646365E7
274,-8.770997885636155E12,-1.3522222902683352E12,2.3687788035594244E7
275,-8.80246075590895E12,-1.357051240337436E12,2.374399227511744E7
276,-8.833923613823557E12,-1.361880188501065E12,2.3800196488413777E7
277,-8.865386459467838E12,-1.3667091347728003E12,2.3856400675678913E7
278,-8.896849292928717E12,-1.3715380791660757E12,2.3912604837106332E7
279,-8.928312114292203E12,-1.3763670216941821E12,2.3968808972887415E7
280,-8.959774923643393E12,-1.3811959623702708E12,2.402501308321144E7
281,-8.99123772106649E12,-1.386024901207353E12,2.408121716826563E7
282,-9.022700506644816E12,-1.3908538382183044E12,2.413742122823517E7
283,-9.054163280460822E12,-1.3956827734158652E12,2.419362526330325E7
284,-9.085626042596102E12,-1.4005117068126433E12,2.4249829273651086E7
285,-9.1170887931314E12,-1.4053406384211152E12,2.430603325945794E7
286,-9.148551532146635E12,-1.4101695682536287E12,2.436223722090116E7
287,-9.180014259720893E12,-1.4149984963224033E12,2.441844115815621E7
288,-9.211476975932451E12,-1.4198274226395334E12,2.447464507139668E7
289,-9.242939680858787E12,-1.4246563472169895E12,2.4530848960794322E7
290,-9.27440237457659E12,-1.4294852700666194E12,2.458705282651909E7
291,-9.30586505716177E12,-1.4343141912001506E12,2.4643256668739133E7
292,-9.337327728689463E12,-1.4391431106291917E12,2.469946048762084E7
293,-9.368790389234055E12,-1.443972028365233E12,2.4755664283328872E7
294,-9.400253038869178E12,-1.4488009444196501E12,2.4811868056026164E7
295,-9.431715677667727E12,-1.453629858803704E12,2.4868071805873968E7
296,-9.46317830570187E12,-1.4584587715285427E12,2.4924275533031862E7
297,-9.494640923043055E12,-1.4632876826052031E12,2.498047923765779E7
298,-9.526103529762025E12,-1.4681165920446123E12,2.503668291990806E7
299,-9.557566125928818E12,-1.4729454998575894E12,2.5092886579937395E7
300,-9.589028711612785E12,-1.477774406054846E12,2.514909021789892E7
301,-9.620491286882596E12,-1.4826033106469888E12,2.5205293833944224E7
302,-9.651953851806242E12,-1.48743221364452E12,2.526149742822334E7
303,-9.683416406451059E12,-1.4922611150578394E12,2.53177010008848E7
304,-9.714878950883723E12,-1.497090014897245E12,2.5373904552075632E7
305,-9.746341485170262E12,-1.5019189131729353E12,2.543010808194139E7
306,-9.77780400937607E12,-1.5067478098950093E12,2.548631159062617E7
307,-9.80926652356591E12,-1.5115767050734688E12,2.5542515078272633E7
308,-9.840729027803918E12,-1.5164055987182192E12,2.5598718545022022E7
309,-9.872191522153623E12,-1.5212344908390713E12,2.5654921991014175E7
310,-9.903654006677941E12,-1.5260633814457415E12,2.5711125416387554E7
311,-9.935116481439193E12,-1.5308922705478535E12,2.5767328821279258E7
